枧 梘
枨 棖
枞 樅
砀 碭
瓯 甌
郏 郟
轭 軛
鸢 鳶
昙 曇
虮 蟣
黾 黽
咛 嚀
咝 噝
岿 巋
刿 劌
剀 剴
峄 嶧
钍 釷
钎 釺
钏 釧
钒 釩
钕 釹
钗 釵
侩 儈
侪 儕
侬 儂
刽 劊
怂 慫
籴 糴
戗 戧
 膞
迩 邇
枭 梟
饯 餞
饴 飴
疠 癘
疡 瘍
炜 煒
炝 熗
泷 瀧
泸 瀘
泺 濼
泾 涇
 
怿 懌
诓 誆
诔 誄
诖 詿
诘 詰
诙 詼
郓 鄆
祎 禕
诛 誅
诜 詵
诟 詬
诠 詮
诣 詣
诤 諍
诧 詫
诨 諢
诩 詡
驽 駑
绀 紺
绁 紲
绂 紱
驷 駟
驸 駙
绉 縐
绌 絀
驿 驛
骀 駘
珑 瓏
顸 頇
垭 埡
挝 撾
挞 撻
贲 賁
垱 壋
挦 撏
荚 莢
贳 貰
荜 蓽
荞 蕎
荟 薈
荠 薺
垩 堊
荥 滎
荦 犖
荨 蕁
荩 藎
荪 蓀
荬 蕒
荮 葤
栉 櫛
栊 櫳
栌 櫨
栎 櫟
柽 檉
郦 酈
砗 硨
砜 碸
殇 殤
轱 軲
轲 軻
轳 轤
轶 軼
轸 軫
虿 蠆
觇 覘
眍 眍
哓 嘵
哔 嗶
哕 噦
剐 剮
郧 鄖
哙 噲
哝 噥
峣 嶢
帧 幀
峤 嶠
贶 貺
钚 鈈
钛 鈦
钡 鋇
钣 鈑
钤 鈐
钨 鎢
钫 鈁
钯 鈀
笃 篤
俦 儔
俨 儼
俪 儷
胨 腖
胪 臚
胫 脛
鸨 鴇
狯 獪
飑 颮
狲 猻
饷 餉
饸 餄
饹 餎
孪 孿
娈 孌
疬 癧
疭 瘲
飒 颯
闼 闥
闾 閭
闿 闓
阂 閡
炽 熾
烃 烴
浃 浹
浍 澮
浒 滸
浔 潯
浕 濜
恸 慟
恹 懨
恺 愷
恻 惻
恽 惲
诮 誚
祢 禰
诰 誥
诳 誑
鸩 鴆
娅 婭
娆 嬈
怼 懟
绔 絝
骁 驍
骅 驊
绗 絎
绛 絳
骈 駢
顼 頊
珰 璫
珲 琿
埘 塒
埙 塤
埚 堝
贽 贄
莳 蒔
莴 萵
莸 蕕
鸪 鴣
莼 蒓
桡 橈
桢 楨
桤 榿
桧 檜
逦 邐
砺 礪
砻 礱
轼 軾
轾 輊
辂 輅
鸫 鶇
趸 躉
龀 齔
鸬 鸕
眬 矓
唛 嘜
鸮 鴞
蚬 蜆
唢 嗩
崂 嶗
崃 崍
觊 覬
赅 賅
钰 鈺
钲 鉦
钴 鈷
钵 鉢
钹 鈸
钺 鉞
钽 鉭
钼 鉬
钿 鈿
铀 鈾
铂 鉑
铄 鑠
铆 鉚
铈 鈰
铉 鉉
铊 鉈
铋 鉍
铌 鈮
铍 鈹
 鏺
铎 鐸
氩 氬
笕 筧
颀 頎
徕 徠
脍 膾
鸱 鴟
玺 璽
鸲 鴝
猃 獫
袅 裊
饽 餑
栾 欒
挛 攣
痈 癰
痉 痙
颃 頏
阃 閫
阄 鬮
訚 誾
阆 閬
郸 鄲
烨 燁
烩 燴
烬 燼
涞 淶
涟 漣
涠 潿
悭 慳
诹 諏
诼 諑
祯 禎
诿 諉
谀 諛
谂 諗
谄 諂
谇 誶
娲 媧
娴 嫻
绠 綆
骊 驪
绡 綃
骋 騁
绥 綏
绦 縧
绨 綈
骎 駸
鸶 鷥
焘 燾
琏 璉
麸 麩
掳 擄
掴 摑
鸷 鷙
掸 撣
悫 慤
掼 摜
萦 縈
梿 槤
觋 覡
棂 欞
啬 嗇
匮 匱
硖 硤
跷 蹺
鸸 鴯
龚 龔
殒 殞
殓 殮
赉 賚
辄 輒
堑 塹
啧 嘖
啭 囀
啮 嚙
跄 蹌
蛎 蠣
蛊 蠱
蛏 蟶
帻 幘
帼 幗
赇 賕
赈 賑
赊 賒
铑 銠
铒 鉺
铗 鋏
铙 鐃
铟 銦
铠 鎧
铡 鍘
铢 銖
铣 銑
铤 鋌
铧 鏵
铨 銓
铩 鎩
铪 鉿
铫 銚
铬 鉻
铮 錚
铯 銫
铰 鉸
铱 銥
铳 銃
铵 銨
銣 銣
鸹 鴰
秾 穠
笺 箋
笾 籩
偾 僨
偻 僂
皑 皚
鸻 鴴
舻 艫
龛 龕
猡 玀
猕 獼
馃 餜
馄 餛
鸾 鸞
阇 闍
阈 閾
阉 閹
阊 閶
阋 鬩
阍 閽
阏 閼
羟 羥
粝 糲
焖 燜
渍 漬
渎 瀆
渑 澠
惬 愜
惮 憚
谌 諶
谏 諫
皲 皸
谑 謔
裆 襠
谒 謁
谔 諤
谕 諭
谖 諼
谗 讒
谙 諳
谛 諦
谝 諞
婵 嬋
绫 綾
骐 騏
绮 綺
绯 緋
绱 緔
骒 騍
绲 緄
骓 騅
绶 綬
绺 綹
绻 綣
绾 綰
骖 驂
缁 緇
靓 靚
辇 輦
鼋 黿
颉 頡
揿 撳
蛰 蟄
塆 壪
蒌 蔞
椟 櫝
椤 欏
赍 賫
鹁 鵓
鹂 鸝
殚 殫
辊 輥
辋 輞
椠 槧
辍 輟
辎 輜
睑 瞼
跞 躒
蛱 蛺
蛲 蟯
蛳 螄
蛴 蠐
喽 嘍
嵘 嶸
嵝 嶁
赕 賧
铻 鋙
铼 錸
铿 鏗
锃 鋥
锂 鋰
锆 鋯
锇 鋨
锉 銼
锏 鐧
锑 銻
锒 鋃
锔 鋦
锕 錒
犊 犢
鹄 鵠
筚 篳
牍 牘
傥 儻
傧 儐
傩 儺
媭 嬃
颌 頜
